Id,中文,English
JTW.CardStrikeWhiteDragon,利剑突刺,Keen Thrust
JTW.CardDefendWhiteDragon,龙之格挡,Block
JTW.CardWDSingingSword,弹剑作歌,Singing Sword
JTW.CardWDNeverRegret,亢龙有悔,Never Regret
JTW.CardWDPureInspiration,抛砖引玉,Pure Inspiration
JTW.CardWDDefendAtAllCosts,不遗余力,At All Costs
JTW.CardWDDragonKingsPrestige,龙王威仪,Dragon King's Prestige
JTW.CardWDCoverAllTheBases,面面俱到,Cover all the Bases
JTW.CardWDDragonScaleArmor,龙鳞重甲,Dragon Scale
JTW.CardWDReinforcement,枕戈饮血,Reinforcement
JTW.CardWDSleepingDragon,潜龙勿用,Sleeping Dragon
JTW.CardWDHeightenedSense,画龙点睛,Heightened Sense
JTW.CardWDHighReflex,随机应变,High Reflex
JTW.CardWDBlizzard,风驰雨骤,Blizzard
JTW.CardWDWellCalculated,见龙在田,Within Calculations
JTW.CardWDShockwaves,震惊百里,Shockwaves
JTW.CardWDTheGrandOpening,神龙见首,The Grand Opening
JTW.CardWDFullyPrepared,以逸待劳,Well Prepared
JTW.CardWDHighMorale,斗志高涨,High Morale
JTW.CardWDDualAttack,双龙取水,Dual Attack
JTW.CardWDDragonTailStrike,神龙摆尾,Tail Sweep
JTW.CardWDAccumulatedFury,披荆斩棘,Surge of Fury
JTW.CardWDImpermeable,滴水不漏,Impermeable
JTW.CardWDGainMomentum,蓄势待发,Gain Momentum
JTW.CardWDStayVigilant,龙盘虎踞,Stay Vigilant
JTW.CardWDDeadlyHurricane,风起浪涌,Deadly Hurricane
JTW.CardWDAngryDragon,狂龙乱舞,Enraged Dragon
JTW.CardWDTransparency,开门见山,Transparency
JTW.CardWDClarity,了然于胸,Clarity
JTW.CardWDStrengthForStrength,以战养战,Strength for Strength
JTW.CardWDAutoTrigger,速战速决,Planned Activation
JTW.CardWDOverturnTheRiver,怒龙翻江,Overturn the River
JTW.CardWDTheLastStand,严防死守,Last Stand
JTW.CardWDRideTheWindAndWaves,乘风破浪,Ride the Wind and Waves
JTW.CardWDQuickWit,临机制胜,Quick Wit
JTW.CardWDAccumulateStamina,养精蓄锐,Preserve Stamina
JTW.CardWDGreaterGuardians,十年磨剑,Greater Guardians
JTW.CardWDDragonInTheSky,龙啸九天,Rising Dragon
JTW.CardWDPursuingPerfection,精益求精,Pursuing Perfection
JTW.CardWDShuffleAndGain,殚精竭力,Shuffle and Accrue
JTW.CardWDDragonInTheWater,蛟龙得水,Racial Advantage
JTW.CardWDNoMistake,算无遗策,No Mistake
JTW.CardWDDefendAndRetain,以守为攻,Defend and Retain
JTW.CardWDNeedForPower,耳目一新,Need for Power
JTW.CardWDDragonShout,龙吟剑啸,Dragon Shout
JTW.CardWDThePowerOfWater,流水游龙,The Power of Water
JTW.CardWDOneStepAhead,先见之明,One Step Ahead
JTW.CardWDEndureAndRevenge,卧薪尝胆,Endure and Retaliate
JTW.CardWDResetAndRestart,焕然一新,Fresh Restart
JTW.CardWDDancingSword,剑胆琴心,Dancing Sword
JTW.CardWDEachStepCounts,步步为营,Each Step Counts
JTW.CardWDBrainStorm,灵机一动,Brainstorm
JTW.CardWDRighteousStance,理直气壮,Righteous Stance
JTW.CardWDDragonStrike,龙战于野,Dragon's Claws
JTW.CardWDSafeHaven,偏安一隅,Safe Haven
JTW.CardWDSwiftThrust,疾风突刺,Swift Thrust
JTW.CardWDDecisiveVictory,决胜千里,Decisive Victory
JTW.CardWDGuardianSwordStrike,卧虎藏龙,Guardian Sword Strike
JTW.CardWDNirvana,绝处逢生,Nirvana
JTW.CardWDTwinDragons,双龙戏珠,Twin Dragons
JTW.CardWDDualWielding,双剑合璧,Dual Wielding
JTW.CardWDDeepInsight,洞若观火,Profound Insight
JTW.CardWDTheFlood,利涉大川,Flood
JTW.CardWDBeforeAnEmergency,枕戈待旦,Adapt
JTW.CardWDOneDropAtATime,聚沙成塔,One Drop at a Time
JTW.CardWDClearTheBattleField,坚壁清野,Drawing Power
JTW.CardWDPreservation,未雨绸缪,Preservation
JTW.CardWDTurnTheTide,排山倒海,Turn the Tide
JTW.CardWDPractiseToPerfection,所向披靡,Practice to Perfection
JTW.CardWDDragonRush,苍龙出洞,Dragon Rush
JTW.CardWDFollowingTheTrend,时乘六龙,Flow like Water
JTW.CardWDSecondToNone,真龙无双,Second to None
JTW.CardWDSoaringDragon,飞龙在天,Soaring Dragon
JTW.CardWDHailStorm,履霜冰至,Hail Storm
