Id,中文,English
JTW.CardLongerMKBar,万里之长,Longer MKBar
JTW.CardHeavierMKBar,千钧之重,Heavier MKBar
JTW.CardDanceOfMonkeyKingBar,舞枪弄棒,Dance of Monkey King Bar
JTW.CardMonkeyKingsHair,猴王毫毛,Monkey King's Hair
JTW.CardHairArmor,毛网恢恢,Hair Armor
JTW.CardExponentialGrowth,雨后春笋,Exponential Growth
JTW.CardHairDance,群猴乱舞,Hair Dance
JTW.CardHairWash,伐毛洗髓,Hair Wash
JTW.CardStrikeWukong,重棒出击,Strike
JTW.CardDefendWukong,防御架势,Defend
JTW.CardBashWukong,当头一棒,Bash
JTW.CardChainedAttack,连环进击,Chained Attack
JTW.CardGuardiansPower,金刚附体,Guardian's Power
JTW.CardEarthShaking,地动山摇,Earth Shaking
JTW.CardRainOfHair,毛动山河,Rain of Hair
JTW.CardCrouchingTiger,猛虎摆尾,Crouching Tiger
JTW.CardHiddenDragon,云霄揽龙,Hidden Dragon
JTW.CardConserveStrength,保存实力,Conserve Strength
JTW.CardUncannyDodge,急中生智,Uncanny Dodge
JTW.CardSpiritAway,身外化身,Spirit Away
JTW.CardEvasive,飘忽不定,Evasive
JTW.CardBeyondLimitation,一苇渡江,Beyond Limitation
JTW.CardFishingTheMoon,猴子捞月,Fishing the moon
JTW.CardDefensiveOffense,攻守兼备,Defensive Offence
JTW.CardFieryGoldenEyes,火眼金睛,Fiery & Golden Eyes
JTW.CardBloodyFight,进退自如,Bloody Fight
JTW.CardFieryStrike,烈焰重击,Fiery Strike
JTW.CardUproarInHeaven,大闹天宫,Uproar in Heaven
JTW.CardAcupunctureHair,定海神针,Acupuncture Hair
JTW.CardHiddenMove,暗渡乾坤,Hidden Move
JTW.CardAshenHair,吹毛求疵,Ashen Hair
JTW.CardLohanAttack,罗汉挑棍,Lohan Attack
JTW.CardFieryDance,赴汤蹈火,Fiery Dance
JTW.CardRiposteWukong,后发制人,Riposte
JTW.CardOracle,仙人指路,Oracle
JTW.CardIgnitingStrike,心急如焚,Igniting Strike
JTW.CardWorshippingMonkey,猴子拜佛,Worshipping Monkey
JTW.CardShadowDancer,月下起舞,Shadow Dancer
JTW.CardThreatening,猴王威慑,Threatening
JTW.CardOnThinIce,如履薄冰,On Thin Ice
JTW.CardMonkeyKingsRoar,齐天怒吼,Monkey King's Roar
JTW.CardToothForATooth,睚眦必报,Tooth for a Tooth
JTW.CardGodOfVictory,三头六臂,God of Victory
JTW.CardShapeShifting,七十二变,Shape Shifting
JTW.CardSpiritShifting,神行百变,Spirit Shifting
JTW.CardStarShifting,移星换斗,Star Shifting
JTW.CardBorrowedWorship,借花献佛,Borrowed Worship
JTW.CardTwistTheKnife,落井下石,Twist the Knife
JTW.CardLeveragingStrength,借力打力,Leveraging Strength
JTW.CardTigerInside,心有猛虎,Tiger Inside
JTW.CardLastResort,背水一战,Last Resort
JTW.CardOneLastFight,破釜沉舟,One Last Fight
JTW.CardFastMetabolism,一毛不拔,Fast Metabolism
JTW.CardLikeAShadow,如影随行,Like a Shadow
JTW.CardOnTheVerge,一触即发,On the verge
JTW.CardHarmonicShapes,合和四象,Harmonic Shapes
JTW.CardProactiveness,防微杜渐,Proactiveness
JTW.CardSecretPower,神工鬼力,Secret Power
JTW.CardGhostHunter,降妖缚怪,Ghost Hunter
JTW.CardElementOfSurprise,声东击西,Element of Surprise
JTW.CardBreakTheSoul,棒下之鬼,Break the Soul
JTW.CardExtremeFlexibility,能屈能伸,Extreme Flexibility
JTW.CardShadowStrike,夹枪带棒,"Shadow Strike"
JTW.CardBerserker,越战越勇,Berserker
JTW.CardPursueTheEnemy,乘胜追击,Pursue the Enemy
JTW.CardEndlessSupply,月下偷桃,Endless Supply
JTW.CardBurnTheGoldenGoose,杀鸡取卵,Burn the Golden Goose
JTW.CardEveryHairCounts,明察秋毫,Every Hair Counts
JTW.CardTacticalRetreat,退避三舍,Tactical Retreat
JTW.CardLikeAFortress,壁垒森严,Like a Fortress
JTW.CardChaoticPower,混世魔猴,Chaotic Power
JTW.CardAccumulation,厚积薄发,Accumulation
JTW.CardJuggernaut,力拔千钧,Juggernaut
JTW.CardDeathProof,金刚不坏,Death Proof
